student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
001e-F14,1.0.4.0,226-001-BARNES-F14,2,PS,40.78947368,117,1,0,0,0,1,0,0
001e-F14,2.1.1.0,226-001-BARNES-F14,2,PS,0,164,2,0,0,0,0,0,0
001e-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,171,2,0,0,0,0,0,0
001e-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-96.58779301,359,2,0,0,0,0,0,0
001e-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0,10,3,0,0,0,0,0,0
001e-F14,3.1.2.0,226-001-BARNES-F14,2,PS,0,43,3,0,0,0,0,0,0
001e-F14,3.1.3.0,226-001-BARNES-F14,2,PS,146.2837562,67,3,0,0,0,0,0,0
001e-F14,4.1.1.0,226-001-BARNES-F14,2,WE,0,9,4,0,0,0,0,0,0
001e-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0,194,4,0,0,0,0,0,0
001e-F14,4.1.3.0,226-001-BARNES-F14,2,PS,0,252,4,0,0,0,0,0,0
001e-F14,4.1.2.0,226-001-BARNES-F14,2,PS,-1.378294036,284,4,0,0,0,0,0,0
001e-F14,5.1.1.0,226-001-BARNES-F14,2,PS,0,55,5,0,0,0,0,0,0
001e-F14,5.1.2.0,226-001-BARNES-F14,2,WE,0,66,5,0,0,0,0,0,0
001e-F14,5.1.3.0,226-001-BARNES-F14,2,PS,-94.56168831,145,5,0,0,0,0,0,0
001e-F14,6.1.1.0,226-001-BARNES-F14,2,PS,0,84,6,0,0,0,0,0,0
001e-F14,6.1.2.0,226-001-BARNES-F14,2,WE,0,87,6,0,0,0,0,0,0
001e-F14,6.1.3.0,226-001-BARNES-F14,2,PS,50.12744265,153,6,0,1,0,0,0,0
0026-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,6,1,0,0,0,0,0,0
0026-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,57,1,0,0,0,0,0,0
0026-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0,83,1,0,0,0,0,0,0
0026-F14,1.0.4.0,226-001-BARNES-F14,2,PS,1.973684211,142,1,0,0,0,0,0,0
0026-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0,11,2,0,0,0,0,0,0
0026-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,17,2,0,0,0,0,0,0
0026-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-48.52830606,69,2,0,0,0,0,0,0
0026-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0,10,3,0,0,0,0,0,0
0026-F14,3.1.2.0,226-001-BARNES-F14,2,PS,0,96,3,0,0,0,0,0,0
0026-F14,3.1.3.0,226-001-BARNES-F14,2,PS,71.02064127,123,3,0,0,0,0,0,0
0026-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0,161,4,0,0,0,0,0,0
0026-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,170,4,0,0,0,0,0,0
0026-F14,4.1.3.0,226-001-BARNES-F14,2,PS,0,450,4,1,0,0,0,0,0
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,454,4,0,0,0,0,0,0
0026-F14,4.-1.4.0,226-001-BARNES-F14,2,PS,0,499,4,0,0,0,0,0,0
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,526,4,0,0,0,0,0,0
0026-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0,570,4,0,0,0,0,0,0
0026-F14,4.-1.3.0,226-001-BARNES-F14,2,PS,0,616,4,0,0,0,0,0,0
0026-F14,4.-1.3.1,226-001-BARNES-F14,2,PS,0,626,4,0,0,1,0,0,0
0026-F14,4.-1.3.0,226-001-BARNES-F14,3,PS,0,737,4,0,0,0,0,0,0
0026-F14,4.-1.3.1,226-001-BARNES-F14,3,PS,0,830,4,0,0,0,0,0,0
0026-F14,4.-1.3.0,226-001-BARNES-F14,4,PS,-113.037448,902,4,0,0,0,0,0,0
0026-F14,5.-1.1.0,226-001-BARNES-F14,5,WE,0,8,5,0,0,0,0,0,0
0026-F14,5.-1.2.0,226-001-BARNES-F14,5,PS,0,38,5,0,0,0,0,0,0
0026-F14,5.-1.3.0,226-001-BARNES-F14,5,PS,0,55,5,0,0,0,0,0,0
