student,currProb,course,session,priorTutorAction,reward
003b-F14,3.-1.1.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,3.-1.2.0,226-001-BARNES-F14,1,WE,0.0
003b-F14,3.-1.3.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,3.-1.4.1,226-001-BARNES-F14,1,PS,0.0
003b-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,3.-1.4.1,226-001-BARNES-F14,1,PS,0.0
003b-F14,3.-1.4.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,4.-1.1.0,226-001-BARNES-F14,1,WE,0.0
003b-F14,4.-1.2.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,4.-1.2.1,226-001-BARNES-F14,1,PS,0.0
003b-F14,4.-1.3.0,226-001-BARNES-F14,1,WE,0.0
003b-F14,4.-1.4.0,226-001-BARNES-F14,1,PS,68.57142857
003b-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0
003b-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0
